,year founded,c_uk,c_us,c_in
101,1901.0,42.0,261.0,5.0
102,1902.0,42.0,314.0,4.0
103,1903.0,44.0,292.0,1.0
104,1904.0,43.0,290.0,1.0
105,1905.0,39.0,298.0,5.0
106,1906.0,30.0,382.0,5.0
107,1907.0,47.0,317.0,7.0
108,1908.0,43.0,339.0,4.0
109,1909.0,43.0,319.0,2.0
110,1910.0,40.0,350.0,5.0
111,1911.0,38.0,352.0,7.0
112,1912.0,51.0,442.0,4.0
114,1914.0,26.0,358.0,1.0
116,1916.0,21.0,362.0,4.0
117,1917.0,35.0,367.0,1.0
118,1918.0,33.0,315.0,1.0
119,1919.0,94.0,537.0,14.0
120,1920.0,63.0,446.0,6.0
121,1921.0,59.0,445.0,3.0
122,1922.0,52.0,424.0,6.0
123,1923.0,56.0,483.0,7.0
124,1924.0,58.0,463.0,5.0
125,1925.0,44.0,408.0,10.0
126,1926.0,53.0,462.0,9.0
127,1927.0,47.0,466.0,6.0
128,1928.0,51.0,442.0,8.0
129,1929.0,43.0,452.0,12.0
130,1930.0,45.0,363.0,6.0
131,1931.0,39.0,347.0,10.0
132,1932.0,43.0,456.0,14.0
133,1933.0,53.0,468.0,12.0
134,1934.0,54.0,487.0,9.0
135,1935.0,70.0,490.0,11.0
136,1936.0,55.0,547.0,7.0
137,1937.0,45.0,544.0,5.0
138,1938.0,56.0,565.0,8.0
139,1939.0,34.0,548.0,16.0
140,1940.0,24.0,369.0,11.0
141,1941.0,14.0,374.0,6.0
142,1942.0,20.0,292.0,9.0
143,1943.0,25.0,274.0,9.0
144,1944.0,26.0,333.0,5.0
145,1945.0,64.0,694.0,21.0
146,1946.0,150.0,1352.0,20.0
147,1947.0,119.0,1101.0,22.0
148,1948.0,112.0,915.0,35.0
149,1949.0,47.0,813.0,27.0
150,1950.0,69.0,820.0,14.0
151,1951.0,46.0,700.0,20.0
152,1952.0,62.0,887.0,19.0
153,1953.0,85.0,876.0,21.0
154,1954.0,78.0,961.0,18.0
155,1955.0,64.0,962.0,15.0
156,1956.0,73.0,910.0,32.0
157,1957.0,100.0,949.0,14.0
158,1958.0,92.0,977.0,26.0
159,1959.0,107.0,977.0,40.0
160,1960.0,88.0,996.0,50.0
161,1961.0,90.0,953.0,46.0
162,1962.0,151.0,1014.0,38.0
163,1963.0,125.0,1149.0,39.0
164,1964.0,163.0,1199.0,44.0
165,1965.0,182.0,1298.0,45.0
166,1966.0,176.0,1057.0,36.0
167,1967.0,176.0,1442.0,40.0
168,1968.0,183.0,1566.0,33.0
169,1969.0,236.0,1908.0,53.0
170,1970.0,213.0,1604.0,56.0
171,1971.0,251.0,1884.0,47.0
172,1972.0,339.0,2277.0,51.0
173,1973.0,286.0,1898.0,58.0
174,1974.0,391.0,2074.0,50.0
175,1975.0,291.0,2049.0,69.0
176,1976.0,359.0,2466.0,88.0
177,1977.0,307.0,2243.0,44.0
178,1978.0,325.0,2590.0,81.0
179,1979.0,417.0,2769.0,84.0
180,1980.0,359.0,2647.0,97.0
181,1981.0,390.0,2920.0,102.0
182,1982.0,505.0,3061.0,121.0
183,1983.0,549.0,3376.0,148.0
184,1984.0,562.0,3541.0,176.0
185,1985.0,590.0,3785.0,158.0
186,1986.0,662.0,3760.0,198.0
187,1987.0,654.0,3802.0,168.0
188,1988.0,707.0,3493.0,181.0
189,1989.0,871.0,4361.0,216.0
190,1990.0,746.0,3331.0,189.0
191,1991.0,818.0,3835.0,225.0
192,1992.0,905.0,3846.0,242.0
193,1993.0,796.0,3815.0,244.0
194,1994.0,857.0,4457.0,325.0
195,1995.0,909.0,4774.0,383.0
196,1996.0,1093.0,5256.0,393.0
197,1997.0,1101.0,5324.0,409.0
198,1998.0,1168.0,5510.0,389.0
199,1999.0,1462.0,6638.0,504.0
200,2000.0,1520.0,5892.0,735.0
201,2001.0,1485.0,6722.0,548.0
202,2002.0,1513.0,6139.0,548.0
203,2003.0,1613.0,6331.0,594.0
204,2004.0,1672.0,6308.0,781.0
205,2005.0,1661.0,6611.0,847.0
206,2006.0,1681.0,6515.0,1048.0
207,2007.0,1766.0,6869.0,1245.0
208,2008.0,1634.0,6915.0,1407.0
209,2009.0,1953.0,7653.0,1603.0
210,2010.0,1900.0,7503.0,1607.0
211,2011.0,1702.0,6579.0,1436.0
212,2012.0,1715.0,6785.0,1405.0
213,2013.0,1606.0,6191.0,1196.0
214,2014.0,1362.0,5624.0,1090.0
215,2015.0,1104.0,4410.0,1065.0
216,2016.0,701.0,2818.0,468.0
217,2017.0,313.0,1460.0,115.0
218,2018.0,44.0,222.0,3.0
