,name,salary,rating,numOfrates
0,3d personnel,70762.7,5.0,2.0
1,3d systems,35180.0,1.5,2.0
2,3m,68751.69230769231,3.306315789473687,20.0
3,3p innovation,120473.0,2.333333333333333,3.0
4,3sdl,115124.5,5.0,2.0
5,8x8,78936.4,3.625,8.0
6,a.s. watson group,68280.09090909091,2.8333333333333326,6.0
7,a.t. kearney,55800.555555555555,4.0,6.0
8,aak,43688.0,3.333333333333333,3.0
9,ab tasty,41183.0,2.0,2.0
10,abb,72904.95726495727,3.571428571428562,7.0
11,abn amro,71094.31578947368,4.666666666666665,3.0
12,ace european group,42377.75,3.5,2.0
13,aci worldwide,59970.11111111111,2.799999999999999,5.0
15,adi uk,71289.0,3.5,2.0
16,adp,75475.9104477612,3.7647058823529345,17.0
17,aecom,80985.98540145985,3.48101265822784,79.0
18,agco,80470.04545454546,2.0,2.0
19,aig,70612.33333333333,4.040000000000003,25.0
20,air worldwide,88527.8,5.0,2.0
21,akka technologies,75345.66216216216,2.0,2.0
22,akqa,99040.66666666667,4.069767441860464,43.0
23,aldi,74337.0,3.6507936507936507,63.0
24,als,40765.5,2.6666666666666665,6.0
25,alstom,69523.41538461538,2.3333333333333335,3.0
26,alten,65632.65934065935,2.333333333333336,12.0
27,ansys,73438.05555555556,4.5,4.0
28,anz bank,69559.0,3.5,2.0
29,apl,77965.0,4.0,2.0
30,aps group,67817.0,2.0,2.0
31,arris,82204.31034482758,4.25,4.0
32,aryzta,82873.0,1.0,2.0
33,asics,39939.0,3.5,2.0
34,asos,68040.57142857143,4.17171717171717,99.0
35,at&t,72683.37037037036,4.142857142857142,7.0
36,aveva,71163.85,4.0,10.0
37,awe plc,69668.0,2.5,10.0
38,axa,74055.78443113773,3.984848484848496,66.0
39,aardvark swift recruitment,56339.5,3.333333333333333,3.0
40,abaco systems,85119.0,3.75,4.0
41,abbvie,79304.0625,4.0,5.0
42,abbott laboratories,84072.82692307692,4.857142857142859,7.0
43,abcam,81861.6,3.5789473684210527,20.0
44,abellio,64314.0,5.0,2.0
45,abercrombie & fitch,77341.0,2.7222222222222223,18.0
46,absolute,94130.33333333333,4.0,2.0
47,accenture,73493.70822281168,3.9387096774193915,311.0
48,accor,82151.69444444444,3.681818181818184,22.0
49,acquia,75966.33333333333,3.6666666666666665,3.0
50,acro aircraft seating,74600.33333333333,4.333333333333333,3.0
51,act-on software,92479.5,3.25,4.0
52,actemium,56062.72727272727,2.5,2.0
53,action on hearing loss,121043.0,2.5,8.0
54,active network,77121.5,2.0,2.0
55,activision blizzard,63138.0,4.8,5.0
56,adapt worldwide,91048.5,3.333333333333333,3.0
57,adaptavist,98296.0,4.5,4.0
58,adarma,82172.0,4.0,2.0
60,addison lee,49199.0,3.25,8.0
61,adecco,69686.47222222222,3.0,24.0
62,adia,116859.0,2.5,2.0
63,administrate,76443.57142857143,4.333333333333333,3.0
64,admiral group,75232.0,3.952380952380953,21.0
65,adobe,67809.2924528302,4.300000000000008,21.0
66,advanced,57570.0,3.0,51.0
67,advantage resourcing,78065.66666666667,3.5,2.0
68,aegis media,75869.475,3.75,4.0
69,aegon,97204.25,3.5,4.0
70,aesop,67112.66666666667,3.3333333333333335,3.0
71,ageas,99354.0,3.6,15.0
72,agfa,87976.0,4.0,2.0
74,aggreko,80614.44444444444,3.666666666666666,6.0
75,agilent technologies,76812.05172413793,3.599999999999996,5.0
76,agilisys,81242.77777777778,3.1000000000000005,20.0
77,agoda,76254.95906432749,2.285714285714281,7.0
78,aiimi,46352.625,5.0,6.0
79,aimia,77665.66666666667,3.928571428571429,28.0
80,air partner,68255.6,4.166666666666667,6.0
81,air products,78281.7027027027,4.333333333333334,3.0
82,airbnb,66129.62962962964,2.0,7.0
83,airbus,75257.42857142857,3.5555555555555465,36.0
84,akamai,84268.84810126582,3.5,2.0
85,aker solutions,85869.82352941176,3.2000000000000006,15.0
86,akzo nobel worldwide,90319.35714285714,3.5882352941176454,17.0
87,al jazeera,56737.57142857143,3.5,2.0
88,alchemy recruitment global,69296.2,4.0,2.0
89,aldo,49650.666666666664,2.333333333333333,6.0
90,alert logic,70665.2,3.333333333333333,3.0
91,alexander mann solutions,85909.25,3.75,44.0
92,allegro development,72918.0,3.0,5.0
93,allergan,109827.22222222222,4.0,7.0
94,alliance healthcare,40423.0,2.25,4.0
95,alliancebernstein,59717.666666666664,4.0,3.0
96,allianz,84138.88888888889,3.9565217391304364,23.0
97,allianz global investors,62098.5,3.333333333333333,6.0
98,allianz insurance,69608.33333333333,3.6666666666666665,9.0
99,allied irish bank (gb),96618.33333333333,2.333333333333333,6.0
100,allocate software,68640.08333333333,3.3333333333333335,6.0
101,allstate,64828.28571428572,4.25,4.0
102,almac group,44421.0,3.592592592592593,27.0
103,alter domus,56718.25,4.0,2.0
104,altran group,72352.29133858268,3.4285714285714386,7.0
105,altran north america,39662.0,2.6,5.0
106,alvarez & marsal,90494.83333333333,3.5454545454545454,11.0
107,amadeus,69720.6513761468,3.928571428571432,14.0
108,amazon,73011.88532477948,3.5047169811321135,213.0
109,amcor,84848.88888888889,4.5,2.0
110,amdocs,72246.94078947368,4.0,9.0
111,amec foster wheeler,77566.31967213115,2.722222222222227,36.0
112,amer sports,69193.25,4.5,2.0
113,american express,74999.8679245283,3.755813953488371,86.0
114,american express global business travel,71960.33333333333,2.75,12.0
115,amey,110109.0,3.4186046511627906,43.0
116,amgen,67261.3111111111,3.2222222222222254,9.0
117,amobee,92434.25,3.5,4.0
118,amoria bond,109301.0,4.666666666666667,3.0
119,amorino,94352.0,2.0,2.0
120,amundi,74923.16666666667,2.6666666666666665,3.0
121,analog devices,68348.85714285714,5.0,2.0
122,analysys mason,78068.0,4.333333333333333,3.0
123,anaplan,81156.27777777778,4.125,8.0
124,anchor,135195.0,2.4,5.0
125,anglian water,84061.5,4.291666666666667,24.0
126,anglo american,111685.5,4.5,8.0
127,anglo technical recruitment,59443.0,3.6666666666666665,3.0
128,anheuser-busch inbev,80409.28571428571,3.6470588235294126,17.0
129,anixter international,35259.0,3.0,2.0
130,anritsu,29465.0,3.333333333333333,6.0
131,anson mccade,55545.357142857145,4.0,3.0
132,aon,74776.81818181818,3.9000000000000004,30.0
133,apex,62416.0,3.0,2.0
134,appdynamics,79606.14285714286,4.625,8.0
135,appen,73397.4705882353,2.0,3.0
136,appian,77291.77777777778,2.0,3.0
137,appirio,88959.83333333333,3.25,4.0
138,apple,73186.615,4.28455284552845,125.0
139,applied medical,43381.0,1.0,2.0
140,apptio,68774.0,3.8,5.0
142,aquis search,79856.9,1.0,2.0
143,arachnys,136085.0,3.4,5.0
144,arcadis,82472.62745098039,3.4642857142857144,28.0
145,arcelormittal,71669.11111111111,2.5,4.0
146,archetype,76976.0,4.5,4.0
147,argo group,95003.5,4.0,4.0
148,argos,96298.0,2.9081632653061225,98.0
149,argus information & advisory services,109528.0,1.5,2.0
150,arjo,50574.5,3.0,2.0
151,arm,70823.15053763441,4.1666666666666705,90.0
152,arriva group,130010.0,3.2857142857142856,21.0
153,arrow electronics,87182.04347826086,2.727272727272727,11.0
154,arrow global,60189.0,4.2,5.0
155,artefact,68180.77777777778,1.0,2.0
156,arup,71921.1282051282,4.092592592592592,54.0
157,arval bnp paribas group,70196.0,4.0,2.0
158,arvato,88087.0,2.571428571428572,7.0
